cprice,position
907,江干区-九堡-三卫家园南苑
945,江干区-丁桥-城发云锦城
1139,江干区-九堡-三卫家园南苑
1188,江干区-九堡-三卫家园北苑
1321,江干区-金沙湖-东岸嘉园二区
627,江干区-丁桥-新城红郡
1266,江干区-九堡-三卫家园北苑
1307,江干区-九堡-三卫家园北苑
1681,江干区-下沙-湾南德盛东苑
2127,江干区-彭埠-德信浙旅东宸
1178,江干区-九堡-三卫家园北苑
1284,江干区-彭埠-世茂·茂悦府
1400,江干区-彭埠-雍泽府
1588,江干区-彭埠-德信浙旅东宸
1185,江干区-彭埠-雍泽府
1455,江干区-下沙-湾南德盛东苑
1435,江干区-下沙-湾南德盛东苑
1546,江干区-九堡-三卫家园南苑
1825,江干区-九堡-三卫家园南苑
1818,江干区-白杨-保利东湾
1958,江干区-下沙-新沙家园
cprice,position
907,江干区-九堡-三卫家园南苑
945,江干区-丁桥-城发云锦城
1139,江干区-九堡-三卫家园南苑
1188,江干区-九堡-三卫家园北苑
1321,江干区-金沙湖-东岸嘉园二区
627,江干区-丁桥-新城红郡
1266,江干区-九堡-三卫家园北苑
1307,江干区-九堡-三卫家园北苑
1681,江干区-下沙-湾南德盛东苑
2127,江干区-彭埠-德信浙旅东宸
1178,江干区-九堡-三卫家园北苑
1284,江干区-彭埠-世茂·茂悦府
1400,江干区-彭埠-雍泽府
1588,江干区-彭埠-德信浙旅东宸
1185,江干区-彭埠-雍泽府
1455,江干区-下沙-湾南德盛东苑
1435,江干区-下沙-湾南德盛东苑
1546,江干区-九堡-三卫家园南苑
1825,江干区-九堡-三卫家园南苑
1818,江干区-白杨-保利东湾
1958,江干区-下沙-新沙家园
cprice,href,position,price,roomnum
1208,https://www.qk365.com/room/49077,宝山区-罗店-美罗家园美文苑,,
1365,https://www.qk365.com/room/59214,松江区-车墩镇-松南城华乐苑,,
1280,https://www.qk365.com/room/91295,松江区-九亭-知雅汇志成花苑,,
1665,https://www.qk365.com/room/103397,松江区-洞泾-中山茸惠苑,,
900,https://www.qk365.com/room/106397,奉贤区-柘林-如意家园,,
1278,https://www.qk365.com/room/61178,嘉定区-江桥-河东小区,,
647,https://www.qk365.com/room/106922,奉贤区-南桥-育秀东区,,
1212,https://www.qk365.com/room/92510,松江区-莘闵-金地都会艺境,,
1020,https://www.qk365.com/room/54137,宝山区-罗店-美罗家园罗翔苑,,
1187,https://www.qk365.com/room/106900,浦东新区-航头-聚航苑一期,,
1086,https://www.qk365.com/room/6152,嘉定区-马陆-育苑小区南区,,
1368,https://www.qk365.com/room/82039,嘉定区-菊园新区-盛蔷坊,,
741,https://www.qk365.com/room/101821,浦东新区-惠南镇-英雄新村小区,,
1205,https://www.qk365.com/room/57892,松江区-中山中路-人民南路,,
798,https://www.qk365.com/room/84076,奉贤区-海湾旅游区-世贸爱马尚郡,,
625,https://www.qk365.com/room/84077,奉贤区-海湾旅游区-世贸爱马尚郡,,
729,https://www.qk365.com/room/84079,奉贤区-海湾旅游区-世贸爱马尚郡,,
1558,https://www.qk365.com/room/100622,闵行区-浦江镇-瑞和雅苑·壹街区,,
2415,https://www.qk365.com/room/81686,浦东新区-唐镇-培元新苑,,
904,https://www.qk365.com/room/81446,松江区-松江老城-松南城谷水佳苑,,
1840,https://www.qk365.com/room/82223,浦东新区-唐镇-培元新苑,,
cprice,href,position,price,roomnum
1208,https://www.qk365.com/room/49077,宝山区-罗店-美罗家园美文苑,,
1365,https://www.qk365.com/room/59214,松江区-车墩镇-松南城华乐苑,,
1280,https://www.qk365.com/room/91295,松江区-九亭-知雅汇志成花苑,,
1665,https://www.qk365.com/room/103397,松江区-洞泾-中山茸惠苑,,
900,https://www.qk365.com/room/106397,奉贤区-柘林-如意家园,,
1278,https://www.qk365.com/room/61178,嘉定区-江桥-河东小区,,
647,https://www.qk365.com/room/106922,奉贤区-南桥-育秀东区,,
1212,https://www.qk365.com/room/92510,松江区-莘闵-金地都会艺境,,
1020,https://www.qk365.com/room/54137,宝山区-罗店-美罗家园罗翔苑,,
1187,https://www.qk365.com/room/106900,浦东新区-航头-聚航苑一期,,
1086,https://www.qk365.com/room/6152,嘉定区-马陆-育苑小区南区,,
1368,https://www.qk365.com/room/82039,嘉定区-菊园新区-盛蔷坊,,
741,https://www.qk365.com/room/101821,浦东新区-惠南镇-英雄新村小区,,
1205,https://www.qk365.com/room/57892,松江区-中山中路-人民南路,,
798,https://www.qk365.com/room/84076,奉贤区-海湾旅游区-世贸爱马尚郡,,
625,https://www.qk365.com/room/84077,奉贤区-海湾旅游区-世贸爱马尚郡,,
729,https://www.qk365.com/room/84079,奉贤区-海湾旅游区-世贸爱马尚郡,,
1558,https://www.qk365.com/room/100622,闵行区-浦江镇-瑞和雅苑·壹街区,,
2415,https://www.qk365.com/room/81686,浦东新区-唐镇-培元新苑,,
904,https://www.qk365.com/room/81446,松江区-松江老城-松南城谷水佳苑,,
1840,https://www.qk365.com/room/82223,浦东新区-唐镇-培元新苑,,
